年,出番順,コンビ名,合計得点,偏差値,合計得点_7人換算,平均点,出場組数,審査員人数,大会平均,大会平均_7人換算,審査員得点_大会平均,きよし,青島,小朝,石井,鴻上,松本,紳助,談志,カウス,洋七,大竹,南原,渡辺,巨人,上沼,東国原,宮迫,哲夫,佐藤,石田,富澤,徳井,吉田,岩尾,増田,礼二,大吉,塙,志らく,邦子,ともこ,きよし_平均,青島_平均,小朝_平均,石井_平均,鴻上_平均,松本_平均,紳助_平均,談志_平均,カウス_平均,洋七_平均,大竹_平均,南原_平均,渡辺_平均,巨人_平均,上沼_平均,東国原_平均,宮迫_平均,哲夫_平均,佐藤_平均,石田_平均,富澤_平均,徳井_平均,吉田_平均,岩尾_平均,増田_平均,礼二_平均,大吉_平均,塙_平均,志らく_平均,邦子_平均,ともこ_平均,きよし_偏差値,青島_偏差値,小朝_偏差値,石井_偏差値,鴻上_偏差値,松本_偏差値,紳助_偏差値,談志_偏差値,カウス_偏差値,洋七_偏差値,大竹_偏差値,南原_偏差値,渡辺_偏差値,巨人_偏差値,上沼_偏差値,東国原_偏差値,宮迫_偏差値,哲夫_偏差値,佐藤_偏差値,石田_偏差値,富澤_偏差値,徳井_偏差値,吉田_偏差値,岩尾_偏差値,増田_偏差値,礼二_偏差値,大吉_偏差値,塙_偏差値,志らく_偏差値,邦子_偏差値,ともこ_偏差値
2001,1,中川家,596,66.17,596.0,85.14,10,7,541.1,541.1,77.3,91.0,90.0,90.0,90.0,85.0,70.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,55.95,65.45,70.23,57.84,57.96,60.0,61.65,,,,,,,,,,,,,,,,,,,,,,,,
2001,2,フットボールアワー,535,48.2,535.0,76.43,10,7,541.1,541.1,77.3,90.0,80.0,80.0,82.0,82.0,55.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,54.63,47.27,56.74,47.03,50.5,40.0,45.97,,,,,,,,,,,,,,,,,,,,,,,,
2001,3,チュートリアル,483,32.89,483.0,69.0,10,7,541.1,541.1,77.3,80.0,75.0,75.0,68.0,75.0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,41.41,38.18,50.0,28.11,33.08,33.33,39.24,,,,,,,,,,,,,,,,,,,,,,,,
2001,4,アメリカザリガニ,568,57.92,568.0,81.14,10,7,541.1,541.1,77.3,88.0,85.0,80.0,92.0,84.0,65.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,51.98,56.36,56.74,60.54,55.47,53.33,54.93,,,,,,,,,,,,,,,,,,,,,,,,
2001,5,おぎやはぎ,497,37.01,497.0,71.0,10,7,541.1,541.1,77.3,77.0,80.0,75.0,82.0,73.0,60.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,37.44,47.27,50.0,47.03,28.11,46.67,28.04,,,,,,,,,,,,,,,,,,,,,,,,
2001,6,キングコング,528,46.14,528.0,75.43,10,7,541.1,541.1,77.3,95.0,75.0,70.0,76.0,83.0,55.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,61.23,38.18,43.26,38.92,52.99,40.0,54.93,,,,,,,,,,,,,,,,,,,,,,,,
2001,7,麒麟,542,50.27,542.0,77.43,10,7,541.1,541.1,77.3,79.0,75.0,65.0,90.0,83.0,75.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,40.09,38.18,36.52,57.84,52.99,66.67,56.05,,,,,,,,,,,,,,,,,,,,,,,,
2001,8,ますだおかだ,575,59.98,575.0,82.14,10,7,541.1,541.1,77.3,95.0,80.0,80.0,88.0,84.0,70.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,61.23,47.27,56.74,55.14,55.47,60.0,59.41,,,,,,,,,,,,,,,,,,,,,,,,
2001,9,DonDokoDon,520,43.79,520.0,74.29,10,7,541.1,541.1,77.3,75.0,85.0,65.0,82.0,84.0,65.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,34.8,56.36,36.52,47.03,55.47,53.33,43.72,,,,,,,,,,,,,,,,,,,,,,,,
2001,10,ハリガネロック,567,57.63,567.0,81.0,10,7,541.1,541.1,77.3,95.0,90.0,70.0,92.0,85.0,60.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,86.5,81.5,75.0,84.2,81.8,62.5,69.6,,,,,,,,,,,,,,,,,,,,,,,,,61.23,65.45,43.26,60.54,57.96,46.67,56.05,,,,,,,,,,,,,,,,,,,,,,,,
